Start_Date,Assign_ID,Weight_Result,,Start_Date,Assign_ID,Weight_Result
2018-09-08 9:04,P7155603,137.667,,2018-09-20 19:16,P7163900,137.577
2018-09-08 9:25,P7155604,135.299,,2018-09-20 19:38,P7187401,137.051
2018-09-08 9:46,P7155605,137.302,,2018-09-20 19:59,P7187402,135.36
2018-09-08 10:10,P7155606,137.637,,2018-09-20 20:20,P7187403,135.675
2018-09-08 10:30,P7155607,137.954,,2018-09-20 20:41,P7187404,135.985
2018-09-08 10:51,P7155608,138.037,,2018-09-20 21:02,P7187405,136.657
2018-09-08 11:12,P7155609,135.311,,2018-09-20 21:24,P7187406,136.438
2018-09-08 11:33,P7155610,137.235,,2018-09-20 21:46,P7187407,135.031
2018-09-08 11:54,P7155611,136.435,,2018-09-20 22:07,P7187408,136.91
2018-09-08 12:16,P7155612,138.699,,2018-09-20 22:28,P7187409,136.367
2018-09-08 12:37,P7155613,134.602,,2018-09-20 22:49,P7187410,137.135
2018-09-08 12:57,P7155614,134.709,,2018-09-20 23:10,P7187411,136.097
2018-09-08 13:19,P7155615,137.807,,2018-09-20 23:31,P7187412,135.615
2018-09-08 13:41,P7155616,139.079,,2018-09-20 23:52,P7187413,137.117
2018-09-08 14:02,P7155617,136.742,,2018-09-21 0:14,P7187414,137.156
2018-09-08 14:23,P7155618,138.72,,2018-09-21 0:36,P7187415,137.527
2018-09-08 14:44,P7155619,138.731,,2018-09-21 0:59,P7187416,137.672
2018-09-08 15:05,P7155620,137.321,,2018-09-21 1:20,P7187417,135.391
2018-09-08 15:26,P7155621,140.394,,2018-09-21 1:41,P7187418,137.205
2018-09-08 15:47,P7155622,140.692,,2018-09-21 2:02,P7187419,136.917
2018-09-08 16:08,P7155623,139.498,,2018-09-21 2:23,P7187420,136.828
2018-09-08 16:32,P7155624,140.291,,2018-09-21 2:44,P7187421,135.018
2018-09-08 16:54,P7155625,138.509,,2018-09-21 3:05,P7187422,137.679
2018-09-08 17:14,P7155626,136.157,,2018-09-21 3:26,P7187423,135.392
2018-09-08 17:36,P7155627,136.384,,2018-09-21 3:48,P7187424,135.916
2018-09-08 17:57,P7155628,135.415,,2018-09-21 4:09,P7187425,134.731
2018-09-08 18:18,P7155629,138.982,,2018-09-21 4:30,P7187426,137.424
2018-09-08 18:40,P7155630,137.739,,2018-09-21 4:51,P7187427,135.453
2018-09-08 19:01,P7155631,138.134,,2018-09-21 5:12,P7187428,135.545
2018-09-08 19:22,P7155632,138.284,,2018-09-21 5:34,P7187429,134.168
2018-09-08 19:43,P7155633,136.246,,2018-09-21 5:55,P7187430,136.044
2018-09-08 20:05,P7155634,137.298,,2018-09-21 6:16,P7187431,136.623
2018-09-08 20:26,P7155635,138.658,,2018-09-21 6:38,P7187432,136.136
2018-09-08 20:48,P7155636,136.551,,2018-09-21 6:59,P7187433,134.148
2018-09-08 21:09,P7155637,139.402,,2018-09-21 7:22,P7187434,136.827
2018-09-08 21:30,P7155638,139.176,,2018-09-21 7:43,P7187435,137.412
2018-09-08 21:52,P7155639,138.227,,2018-09-21 15:53,220732564,391.667
2018-09-08 22:13,P7155640,139.057,,2018-09-21 16:14,220732565,396.283
2018-09-08 22:35,P7155641,138.95,,2018-09-21 16:35,220732566,393.859
2018-09-08 22:58,P7155642,136.998,,2018-09-21 16:57,220732567,397.613
2018-09-08 23:20,P7155643,138.315,,2018-09-21 17:18,220732568,392.622
2018-09-08 23:42,P7155644,136.213,,2018-09-21 17:39,P7163893,140.73
2018-09-09 0:03,P7155645,135.982,,2018-09-21 18:00,P7163894,141.44
2018-09-09 0:24,P7155646,137.434,,2018-09-21 18:22,P7163895,142.005
2018-09-09 0:45,P7155647,136.044,,2018-09-21 18:44,P7187438,138.005
2018-09-09 1:07,P7155648,135.022,,2018-09-21 19:05,P7187439,136.9
2018-09-09 1:28,P7155649,135.903,,2018-09-21 19:26,P7187440,135.999
2018-09-09 1:49,P7155650,136.284,,2018-09-21 19:47,P7187443,137.413
2018-09-09 2:10,P7166051,136.233,,2018-09-21 20:11,P7187444,135.651
2018-09-09 2:31,P7166052,136.339,,2018-09-21 20:32,220732516,385.803
2018-09-09 2:52,P7166053,135.89,,2018-09-21 20:52,220732519,393.999
2018-09-09 3:13,P7166054,135.621,,2018-09-21 21:14,220732520,404.984
2018-09-09 3:34,P7166055,136.637,,2018-09-21 21:35,P7166089,136.978
