"Time.S","Assign_ID","Wgt.S"
"2018-06-01 3:30","7K09321",157.937
"2018-06-01 3:52","7K09322",158.177
"2018-06-01 4:12","7K09323",157.579
"2018-06-01 4:34","7P14662",159.189
"2018-06-01 4:55","7P14663",160.045
"2018-06-01 5:17","7P14664",159.246
"2018-06-01 5:40","7P14665",158.489
"2018-06-01 6:02","7P14666",159.769
"2018-06-01 6:23","7P14667",157.029
"2018-06-01 6:44","7P14668",157.815
"2018-06-01 7:05","7P14669",158.804
"2018-06-01 7:27","7K09184",161.716
"2018-06-01 7:48","7K09185",161.14
"2018-06-01 8:09","7K09186",157.779
"2018-06-01 8:30","7K09187",157.518
"2018-06-01 8:51","7S18347",159.172
"2018-06-01 9:12","7S18348",159.817
"2018-06-01 9:33","7S18349",159.598
"2018-06-01 9:54","7S18350",161.303
"2018-06-01 10:14","7K09151",157.078
"2018-06-01 10:35","7K09152",158.141
"2018-06-01 10:56","7K09153",157.441
"2018-06-01 11:17","7K09154",157.291
"2018-06-01 11:37","7K09155",157.21
"2018-06-01 11:58","7K09156",156.676
"2018-06-01 12:21","7K09157",160.157
"2018-06-01 12:41","7K09158",160.926
"2018-06-02 17:31","5J08455",156.239
"2018-06-02 17:51","5J08456",153.841
"2018-06-02 18:13","5J08457",153.663
"2018-06-02 18:34","5J08458",155.129
"2018-06-02 18:55","5J08459",151.759
"2018-06-02 19:15","5J08460",152.101
"2018-06-02 19:35","5J08461",147.615
"2018-06-02 19:56","5J08462",149.608
"2018-06-02 20:18","5J08463",151.159
"2018-06-02 20:38","5J08464",151.444
"2018-06-02 20:59","7K09324",158.712
"2018-06-02 21:21","7K09325",157.478
"2018-06-02 21:42","7K09326",159.29
"2018-06-02 22:03","7K09327",158.15
